Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-02-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00002,-2e-05,-3e-05,1e-05,0.0
2013-02-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00002,-2e-05,-2e-05,1e-05,0.0
2013-02-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00002,-2e-05,-2e-05,1e-05,0.0
2013-02-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-2e-05,1e-05,0.0
2013-02-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-2e-05,1e-05,0.0
2013-02-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-2e-05,1e-05,0.0
2013-02-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-2e-05,1e-05,0.0
2013-02-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-2e-05,0.0,0.0
2013-02-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-02-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-04,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-05,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-06,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-07,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.00001,-1e-05,-1e-05,0.0,0.0
2013-03-08,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-1e-05,0.0,0.0
2013-03-09,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-1e-05,0.0,0.0
2013-03-10,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-1e-05,0.0,0.0
2013-03-11,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-1e-05,0.0,0.0
2013-03-12,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-1e-05,0.0,0.0
2013-03-13,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-14,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-15,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-16,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-17,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-18,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-29,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-30,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-03-31,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-04,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-05,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-06,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-07,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-08,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-09,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-10,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-11,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-12,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-13,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-14,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-15,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-16,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-17,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-18,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-29,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-04-30,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-04,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-05,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-06,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-07,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-08,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-09,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-10,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-11,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-12,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-13,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-14,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-15,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-16,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-17,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-18,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-29,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-30,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-05-31,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-04,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-05,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-06,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-07,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-08,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-09,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-10,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-11,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-12,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-13,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-14,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-15,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-16,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-17,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-18,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-29,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-06-30,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-04,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-05,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-06,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-07,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-08,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-09,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-10,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-11,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-12,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-13,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-14,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-15,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-16,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-17,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-18,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-29,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-30,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-07-31,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-04,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-05,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-06,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-07,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-08,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-09,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-10,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-11,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-12,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-13,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-14,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-15,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-16,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-17,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-18,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-19,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-20,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-21,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-22,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-23,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-24,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-25,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-26,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-27,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-28,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-29,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-30,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-08-31,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-09-01,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-09-02,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
2013-09-03,1.0,12.0,2904.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,-0.0,-0.0,0.0,0.0
